Campus,Account Amount,Bilingual Spending
1902000,13569506,
1902001,1757090,11055.0
1902041,1116480,
1902103,1677016,
1902701,120881,
1902702,6418,
1902703,62217,
1902750,163681,
1902751,2509654,
1902999,2298545,
1903000,21197226,
1903001,3611305,
1903041,2160097,
1903101,2253121,
1903102,1805770,
1903701,205665,
1903702,4211,
1903703,72308,
1903750,397080,
1903999,4239970,
1904000,16713887,
1904001,2609108,
1904041,1205480,
1904102,2822548,
1904701,272201,
1904702,10390,
1904703,71043,
1904750,248167,
1904999,3620601,
1906000,6315179,
1906002,1435804,3984.0
1906102,2142489,
1906701,215999,
1906702,18100,
1906703,30177,
1906750,72257,
1906999,1151701,
1907000,69264825,
1907001,10837020,61054.0
1907041,4034950,
1907101,3661060,151407.0
1907102,1941390,647.0
1907107,3307303,134369.0
1907110,4873564,995.0
1907699,40655,18686.0
1907701,469506,
1907702,92128,
1907703,312610,
1907750,784794,
1907999,17029565,3013.0
1908000,27177037,
1908002,3505356,850.0
1908041,2153283,1179.0
1908101,2677745,4587.0
1908102,2705872,5475.0
1908699,26899,
1908701,316064,
1908702,18115,
1908703,102793,
1908720,40,
1908750,394564,
1908999,5328400,
1909000,6947687,
1909001,1393541,
1909101,2170474,16627.0
1909701,130880,
1909702,4139,
1909703,28184,
1909750,118069,
1909999,1330874,
2901000,130159751,
2901001,13694951,1091.0
2901002,865037,
2901041,12438717,13645.0
2901101,5185372,6804.0
2901104,5080714,15505.0
2901105,11182360,265012.0
2901701,347946,
2901702,139347,
2901703,683445,
2901750,1799093,
2901999,25978294,9270.0
3902000,51663217,
3902001,7562073,30067.0
3902041,4607339,61332.0
3902101,4392564,62372.0
3902102,3996866,22157.0
3902701,288570,
3902702,29891,
3902703,122916,
3902750,759694,
3902751,711087,
3902999,10678759,14460.0
3903000,211356360,
3903001,29370694,115021.0
3903044,14058805,92118.0
3903120,2248918,4924.0
3903121,2820218,759.0
3903122,2768426,3024.0
3903123,2287501,6920.0
3903124,2885497,2500.0
3903125,2148650,34083.0
3903126,1298978,71783.0
3903127,3069419,6429.0
3903128,2025707,4171.0
3903129,3620723,236956.0
3903130,1837146,3958.0
3903131,2624736,121936.0
3903141,162432,
3903201,23916,
3903699,70989,19957.0
3903701,376223,
3903702,80274,
3903703,613415,
3903750,1907164,
3903751,358755,
3903999,28858453,1617.0
3904000,29373138,
3904001,3727821,
3904005,318015,
3904041,2619238,4482.0
3904101,3169657,3364.0
3904102,1921444,2243.0
3904701,301230,
3904702,14821,
3904750,450785,
3904751,86820,
3904999,6804892,16987.0
3905000,33951887,
3905001,4520849,20345.0
3905004,72147,
3905041,3383275,11397.0
3905101,3286914,64007.0
3905102,1448486,8988.0
3905103,2850903,29284.0
3905699,9969,
3905701,289576,
3905702,25214,
3905703,69715,
3905750,474144,
3905999,7950747,1845.0
3906000,13569368,
3906001,1955491,
3906101,1543406,
3906701,118004,
3906702,14749,
3906703,33193,
3906750,161205,
3906999,1340399,
3907000,28125277,
3907001,3978932,2393.0
3907004,72683,
3907041,3278798,2130.0
3907102,4248579,16941.0
3907701,227571,
3907702,32801,
3907703,74631,
3907750,320210,
3907998,11968,
3907999,4555174,
4901000,69071732,
4901001,6801866,1308.0
4901041,5275303,330.0
4901101,5337174,3177.0
4901103,5724548,50791.0
4901699,132372,5759.0
4901701,420107,
4901702,75131,
4901703,612409,
4901750,686538,
4901751,1000074,
4901998,1650145,
4901999,15283299,8760.0
5901000,12595157,
5901001,3164822,1105.0
5901101,1991981,3250.0
5901701,182417,
5901702,25682,
5901703,79850,
5901750,114424,
5901999,2350255,
5902000,18277928,
5902001,3363823,
5902041,1684866,
5902101,2927969,5957.0
5902701,173864,
5902702,3150,
5902703,117402,
5902750,320204,
5902999,5379813,
5904000,10445359,
5904001,1383126,5197.0
5904041,710873,
5904101,1575745,54708.0
5904699,2407,754.0
5904701,194307,
5904702,5652,
5904703,27099,
5904750,133013,
5904999,1154052,
6902000,9895803,
6902001,2559527,2697.0
6902701,165034,
6902702,22202,
6902703,141967,
6902750,119939,
6902999,4020178,523.0
7901000,15945732,
7901001,1462868,1021.0
7901041,974756,1214.0
7901101,1687550,51192.0
7901701,186246,
7901702,-5004,
7901703,144675,
7901720,31688,
7901750,216261,
7901999,3139146,
7902000,34572852,
7902001,5344194,12296.0
7902004,13455,74.0
7902005,136626,1135.0
7902006,91847,
7902041,2975373,28348.0
7902101,5811373,26718.0
7902699,2924,
7902701,261766,
7902702,2681,
7902703,259395,
7902750,490705,
7902751,64157,1050.0
7902999,5600558,
7904000,48194269,
7904001,5189205,21171.0
7904002,118465,
7904041,3174081,25598.0
7904101,3694669,24940.0
7904103,3022190,21178.0
7904699,4254,4254.0
7904701,257905,
7904702,143935,
7904703,89683,
7904750,448473,
7904999,8741775,792.0
7905000,85670897,
7905001,11422354,3382.0
7905005,63865,
7905041,6062924,4074.0
7905103,7399409,7740.0
7905105,5640812,14370.0
7905699,61190,
7905701,381365,
7905702,7341,
7905703,32438,
7905750,1423314,
7905751,2891579,
7905999,11586905,20915.0
7906000,30706766,
7906001,4325345,604.0
7906041,2665410,604.0
7906101,3505019,185698.0
7906102,1662629,74817.0
7906701,257872,
7906702,161271,
7906703,99860,
7906750,758400,
7906999,6200173,1301.0
8901000,45157494,
8901001,5202112,53582.0
8901002,155247,
8901041,4311733,52337.0
8901101,4314459,95291.0
8901102,2643987,20268.0
8901105,1516731,
8901699,37008,1942.0
8901701,319175,
8901702,45448,
8901703,423236,
8901720,33004,
8901750,592664,
8901999,7044388,261.0
8902000,42616534,
8902001,9746387,2498.0
8902041,4885802,22451.0
8902102,4920151,77920.0
8902104,4373128,102426.0
8902701,318488,
8902702,16383,
8902703,441579,
8902720,184578,
8902750,430961,
8902999,10832710,7473.0
8903000,18839893,
8903001,2585068,9685.0
8903041,1728899,
8903102,2342537,144009.0
8903103,573543,
8903701,126135,
8903702,1600,
8903703,86804,
8903750,278677,
8903999,3820457,
9901000,64350706,
9901001,4138369,68818.0
9901002,37092,
9901041,2888984,35068.0
9901101,2527247,142529.0
9901103,2829104,155674.0
9901699,68192,
9901701,263617,
9901702,29563,
9901703,131470,
9901720,14948,
9901750,266559,
9901751,47037,
9901999,6943217,2869.0
10901000,6881074,
10901001,5031180,9671.0
10901701,156460,
10901702,8399,
10901703,93799,
10901750,227109,
10901999,558310,
10902000,74915012,
10902001,5180593,29393.0
10902041,3034043,8766.0
10902101,3218892,14142.0
10902102,3135348,7115.0
10902701,367863,
10902702,9766,
10902703,550739,
10902720,8067,
10902750,496087,
10902999,10878418,1650.0
11901000,177859402,
11901001,11801126,39828.0
11901002,11364330,51640.0
11901005,1357754,7885.0
11901022,800858,4044.0
11901041,5444976,29371.0
11901101,5312036,143226.0
11901102,5069224,36315.0
11901103,5733148,303213.0
11901104,5289614,43152.0
11901106,5959417,51014.0
11901107,5378851,162560.0
11901108,5927317,63211.0
11901109,5276974,195265.0
11901110,5509511,183694.0
11901699,143788,12098.0
11901701,493857,
11901702,5006,
11901703,1021638,
11901750,2199365,
11901999,49188772,255361.0
11902000,89984364,
11902001,12868811,1007.0
11902003,26018,
11902004,1317819,
11902041,7768275,700.0
11902042,724684,919.0
11902101,5503225,11597.0
11902102,6522845,19454.0
11902103,5984887,10006.0
11902699,53353,16202.0
11902701,636777,
11902702,15178,
11902703,323920,
11902750,1412450,
11902999,20050708,590477.0
11904000,35310807,
11904002,4810019,1822.0
11904041,4093150,1165.0
11904101,9295473,38060.0
11904102,3046384,7429.0
11904699,74142,
11904701,241210,
11904702,94079,
11904703,222410,
11904720,7433,
11904750,447419,
11904999,9535074,
11905000,7245100,
11905001,1371247,1379.0
11905101,1703199,13794.0
11905701,135972,
11905702,11143,
11905703,3599,
11905720,22710,
11905750,192961,
11905999,1916181,176.0
12901000,17702849,
12901001,2820023,751.0
12901042,1508462,453.0
12901101,2179884,117.0
12901699,495,
12901701,167105,
12901702,164216,
12901703,130503,
12901750,234670,
12901999,771295,
13901000,72400034,
13901001,10208889,126795.0
13901004,249588,
13901041,5201389,8709.0
13901042,709468,176.0
13901101,3542305,4922.0
13901102,4016961,4483.0
13901105,2914026,3256.0
13901699,93353,
13901701,366046,
13901702,121405,
13901703,230943,
13901750,1028248,
13901999,9925462,
13902000,10540155,
13902101,5789283,2917.0
13902701,102042,
13902702,82159,
13902703,118178,
13902750,237925,
13902999,775198,
13903000,13430847,
13903001,2580143,768.0
13903101,1563097,500.0
13903701,187272,
13903702,13683,
13903703,134200,
13903720,78000,
13903750,219526,
13903999,4954784,
13905000,29601402,
13905001,2877807,2497.0
13905041,1561203,2715.0
13905101,2480893,16730.0
13905699,1397,
13905701,176355,
13905702,135205,
13905703,59628,
13905720,41659,
13905750,161658,
13905999,3883529,
14901000,26326589,
14901001,3419282,
14901041,2522052,
14901101,2594578,
14901102,2421864,105.0
14901701,398297,
14901702,8465,
14901750,241997,
14901751,404731,
14901999,5587732,27274.0
14902000,7023472,
14902001,2759086,51844.0
14902699,30360,
14902701,137060,
14902702,5577,
14902703,18755,
14902750,177251,
14902999,1715584,524.0
14903000,213667213,
14903001,27336639,53914.0
14903005,3081720,
14903010,2958409,
14903043,7630386,
14903044,7447453,53982.0
14903045,7650735,5819.0
14903046,1357362,
14903102,2290294,
14903103,3362168,
14903104,4186248,177070.0
14903108,4709445,
14903109,4422281,-2172.0
14903111,4738428,
14903116,4036371,
14903117,4590505,
14903118,5466778,10099.0
14903119,3678866,5056.0
14903120,3394202,3366.0
14903699,163618,17062.0
14903701,612093,
14903702,15307,
14903703,593444,
14903750,2799238,
14903999,83952531,61812.0
14905000,14007356,
14905001,1879766,316.0
14905041,1209516,1000.0
14905101,2218631,2565.0
14905699,37339,
14905701,167535,
14905702,13706,
14905703,21048,
14905750,260121,
14905751,2420980,
14905999,3357534,1740.0
14906000,1156000057,
14906001,34616826,13151.0
14906002,20452244,6539.0
14906003,7864011,
14906004,2595114,
14906006,3080320,1432.0
14906007,20686394,471.0
14906008,18654632,2894.0
14906009,2136295,
14906013,8526997,
14906015,37947793,
14906022,222385,
14906042,5742096,2432.0
14906043,6255840,3465.0
14906044,8730305,312.0
14906046,7037744,6861.0
14906048,7226420,1120.0
14906049,7242237,603.0
14906050,5542681,551.0
14906051,6822694,40.0
14906052,6473753,
14906053,7564953,2504.0
14906054,9332984,7046.0
14906055,35462433,
14906100,1306561,
14906102,5024664,3547.0
14906105,6390989,93702.0
14906108,6531365,31.0
14906109,6642604,194411.0
14906110,5492770,124416.0
14906111,3828947,
14906112,4635841,795.0
14906113,4494608,
14906115,5737271,
14906116,4817783,
14906119,6711454,
14906120,7077346,51.0
14906121,7961181,2498.0
14906122,7690087,2750.0
14906123,6091399,
14906124,6257630,328.0
14906125,6747953,459.0
14906126,4989399,3897.0
14906127,7185007,200832.0
14906128,5691859,
14906129,5966037,
14906130,5995099,4046.0
14906131,7599178,
14906132,5981855,9033.0
14906133,6727159,2864.0
14906135,7979668,5965.0
14906136,8506094,4850.0
14906137,5789050,58.0
14906138,7337392,2009.0
14906139,8699480,5840.0
