Campus Number,Bilingual Spending,Account Amount,2020 EL Denominator,2020 All Students Denominator,Percentage Bilingual Spending,2020 EL Pop Percent
1902001,11055.0,1757090.0,,39.0,0.006291652675730896,
1902041,,1116480.0,,,,
1902103,,1677016.0,,,,
1903001,,3611305.0,,89.0,,
1903041,,2160097.0,,,,
1903101,,2253121.0,,,,
1903102,,1805770.0,,,,
1904001,,2609108.0,,51.0,,
1904041,,1205480.0,,,,
1904102,,2822548.0,,,,
1906002,3984.0,1435804.0,,33.0,0.002774751985647066,
1906102,,2142489.0,,,,
1907001,61054.0,10837020.0,8.0,229.0,0.005633836608218865,0.034934497816593885
1907041,,4034950.0,,,,
1907101,151407.0,3661060.0,,,0.04135605535008986,
1907102,647.0,1941390.0,,,0.0003332663710022201,
1907107,134369.0,3307303.0,,,0.04062796786384556,
1907110,995.0,4873564.0,,,0.0002041627031059816,
1908002,850.0,3505356.0,,100.0,0.00024248606988847924,
1908041,1179.0,2153283.0,,,0.0005475360182567735,
1908101,4587.0,2677745.0,,,0.0017130085202287746,
1908102,5475.0,2705872.0,,,0.002023377306834913,
1909001,,1393541.0,,27.0,,
1909101,16627.0,2170474.0,,,0.007660538665747666,
2901001,1091.0,13694951.0,14.0,221.0,7.966439602449107e-05,0.06334841628959276
2901002,,865037.0,,31.0,,
2901041,13645.0,12438717.0,,,0.0010969780886565712,
2901101,6804.0,5185372.0,,,0.0013121527250118217,
2901104,15505.0,5080714.0,,,0.0030517364291711754,
2901105,265012.0,11182360.0,,,0.023699111815394962,
3801001,,,,57.0,,
3801042,,,,,,
3801103,,,,,,
3902001,30067.0,7562073.0,,195.0,0.003976026150501324,
3902004,,,,10.0,,
3902041,61332.0,4607339.0,,,0.013311805360968662,
3902101,62372.0,4392564.0,,,0.014199451618690132,
3902102,22157.0,3996866.0,,,0.005543593405433157,
3903001,115021.0,29370694.0,37.0,481.0,0.003916182573009681,0.07692307692307693
3903004,,,,40.0,,
3903044,92118.0,14058805.0,,,0.006552334995755329,
3903120,4924.0,2248918.0,,,0.0021894973493920187,
3903121,759.0,2820218.0,,,0.00026912813122957163,
3903122,3024.0,2768426.0,,,0.0010923174395848039,
3903123,6920.0,2287501.0,,,0.0030251352895583434,
3903124,2500.0,2885497.0,,,0.000866401871150793,
3903125,34083.0,2148650.0,,,0.015862518325460172,
3903126,71783.0,1298978.0,,,0.05526113606235056,
3903127,6429.0,3069419.0,,,0.0020945331999313224,
3903128,4171.0,2025707.0,,,0.002059034203860677,
3903129,236956.0,3620723.0,,,0.06544438776454316,
3903130,3958.0,1837146.0,,,0.0021544286627192396,
3903131,121936.0,2624736.0,,,0.04645648171854236,
3903141,,162432.0,,,,
3903201,,23916.0,,,,
3904001,,3727821.0,,113.0,,
3904005,,318015.0,,18.0,,
3904041,4482.0,2619238.0,,,0.0017111847033373828,
3904101,3364.0,3169657.0,,,0.0010613135743078824,
3904102,2243.0,1921444.0,,,0.0011673512212690038,
3905001,20345.0,4520849.0,5.0,128.0,0.004500260902321666,0.0390625
3905004,,72147.0,,11.0,,
3905041,11397.0,3383275.0,,,0.0033686295083905386,
3905101,64007.0,3286914.0,,,0.019473281016783524,
3905102,8988.0,1448486.0,,,0.006205099669586036,
3905103,29284.0,2850903.0,,,0.010271833170051734,
3906001,,1955491.0,,28.0,,
3906101,,1543406.0,,,,
3907001,2393.0,3978932.0,,94.0,0.0006014176668513059,
3907004,,72683.0,,7.0,,
3907041,2130.0,3278798.0,,,0.0006496283089107654,
3907102,16941.0,4248579.0,,,0.0039874508629826584,
4901001,1308.0,6801866.0,,222.0,0.00019230017174698825,
4901041,330.0,5275303.0,,,6.25556484622779e-05,
4901101,3177.0,5337174.0,,,0.0005952588392284006,
4901103,50791.0,5724548.0,,,0.008872490893604177,
5901001,1105.0,3164822.0,,34.0,0.0003491507579257222,
5901101,3250.0,1991981.0,,,0.0016315416663110743,
5902001,,3363823.0,,80.0,,
5902041,,1684866.0,,,,
5902101,5957.0,2927969.0,,,0.002034516075819109,
5904001,5197.0,1383126.0,,32.0,0.003757430631771798,
5904041,,710873.0,,,,
5904101,54708.0,1575745.0,,,0.03471881554439329,
6902001,2697.0,2559527.0,,21.0,0.0010537103144448174,
7901001,1021.0,1462868.0,,41.0,0.0006979440386965877,
7901041,1214.0,974756.0,,,0.001245439884442876,
7901101,51192.0,1687550.0,,,0.030335101182187196,
7902001,12296.0,5344194.0,,119.0,0.002300814678509051,
7902005,1135.0,136626.0,,,0.008307349991948824,
7902006,,91847.0,,,,
7902041,28348.0,2975373.0,,,0.00952754494982646,
7902101,26718.0,5811373.0,,,0.004597536589029822,
7904001,21171.0,5189205.0,11.0,105.0,0.004079815694311557,0.10476190476190476
7904002,,118465.0,,,,
7904041,25598.0,3174081.0,,,0.008064696521607356,
7904101,24940.0,3694669.0,,,0.006750266397341683,
7904103,21178.0,3022190.0,,,0.007007501182917024,
7905001,3382.0,11422354.0,7.0,227.0,0.0002960860782287084,0.030837004405286344
7905004,,,,,,
7905005,,63865.0,,19.0,,
